Sigrodid	Hectares	Cc	Sp	Ano	E	Dens
03Pe1980a	134.6760	03	Pe	1980	a	1000.0000
03Pe1983a	16.1290	03	Pe	1983	a	1000.0000
03Pe1985a	42.6410	03	Pe	1985	a	1000.0000
03Pe1992a	16.1420	03	Pe	1992	a	1000.0000
03Pt1983a	3.8350	03	Pt	1983	a	1000.0000
03Pt1989a	2.6690	03	Pt	1989	a	1000.0000
03Pt1992a	2.0430	03	Pt	1992	a	1000.0000
03Pt1993a	65.6510	03	Pt	1993	a	1000.0000
03Pt1994a	47.8420	03	Pt	1994	a	1000.0000
03Pt1995a	108.3140	03	Pt	1995	a	1000.0000
03Pt1996a	94.2570	03	Pt	1996	a	1000.0000
03Pt1999a	217.9000	03	Pt	1999	a	1266.4000
03Pt2003a	93.0280	03	Pt	2003	a	1666.0000
03Pt2004a	49.8510	03	Pt	2004	a	1000.0000
07Aa1982a	13.5210	07	Aa	1982	a	1000.0000
07Pc1989a	1.9450	07	Pc	1989	a	1000.0000
07Pe1969a	11.9950	07	Pe	1969	a	1000.0000
07Pe1983a	6.4950	07	Pe	1983	a	1000.0000
07Pe1984a	512.5340	07	Pe	1984	a	1000.0000
07Pe1988a	5.1930	07	Pe	1988	a	1000.0000
07Pe1989a	2.9450	07	Pe	1989	a	1000.0000
07Pe1994a	12.3000	07	Pe	1994	a	1000.0000
07Pt1989a	14.8970	07	Pt	1989	a	1000.0000
07Pt1994a	36.9360	07	Pt	1994	a	1000.0000
08Eg1987a	14.6330	08	Eg	1987	a	1000.0000
08Ma1987a	1.2980	08	Ma	1987	a	1000.0000
08Pe1983a	54.0170	08	Pe	1983	a	1000.0000
08Pe1984a	227.3170	08	Pe	1984	a	1000.0000
08Pe1985a	101.2900	08	Pe	1985	a	1000.0000
08Pe1986a	36.5750	08	Pe	1986	a	1000.0000
08Pe1987a	100.1950	08	Pe	1987	a	1000.0000
09Pt2004a	156.4150	09	pt	2004	a	1666.0000
10Eg1987a	2.6900	10	Eg	1987	a	1000.0000
10Pe1969a	14.4790	10	Pe	1969	a	1000.0000
10Pe1969t	12.3920	10	Pe	1969	t	1000.0000
10Pe1970a	44.3200	10	Pe	1970	a	1000.0000
10Pe1971a	23.3830	10	Pe	1971	a	1000.0000
10Pe1972a	23.4980	10	Pe	1972	a	1000.0000
10Pe1972t	6.0340	10	Pe	1972	t	1000.0000
10Pe1979a	41.3910	10	Pe	1979	a	1000.0000
10Pe1985a	121.4050	10	Pe	1985	a	1000.0000
10Pe1986a	171.6350	10	Pe	1986	a	1000.0000
10Pe1994a	3.7270	10	Pe	1994	a	1000.0000
10Pe1996a	35.4900	10	Pe	1996	a	1000.0000
10Pt1994a	5.8730	10	Pt	1994	a	1000.0000
11Eg1980t	4.9060	11	Eg	1980	t	1000.0000
11Pe1980a	33.1280	11	Pe	1980	a	1000.0000
11Pe1984a	5.5770	11	Pe	1984	a	1000.0000
11Pt1990a	16.8850	11	Pt	1990	a	1000.0000
11Pt1999a	69.3060	11	Pt	1999	a	1666.0000
12Aa1982a	0.5360	12	Aa	1982	a	1000.0000
12Eg1994a	22.9820	12	Eg	1994	a	1000.0000
13Eg1991a	38.3140	13	Eg	1991	a	1000.0000
13Pe1980a	11.9330	13	Pe	1980	a	1000.0000
14Pe1986a	264.4260	14	Pe	1986	a	1000.0000
14Pt2000a	310.6900	14	Pt	2000	a	1666.0000
14Pt2001a	341.7700	14	Pt	2001	a	1666.0000
14Pt2002a	217.2780	14	Pt	2002	a	1666.0000
14Pt2003a	63.6540	14	Pt	2003	a	1000.0000
03Pe1980a	134.6760	03	Pe	1980	a	1000.0000
03Pe1983a	16.1290	03	Pe	1983	a	1000.0000
03Pe1985a	42.6410	03	Pe	1985	a	1000.0000
03Pe1992a	16.1420	03	Pe	1992	a	1000.0000
03Pt1983a	3.8350	03	Pt	1983	a	1000.0000
03Pt1989a	2.6690	03	Pt	1989	a	1000.0000
03Pt1992a	2.0430	03	Pt	1992	a	1000.0000
03Pt1993a	65.6510	03	Pt	1993	a	1000.0000
03Pt1994a	47.8420	03	Pt	1994	a	1000.0000
03Pt1995a	108.3140	03	Pt	1995	a	1000.0000
03Pt1996a	94.2570	03	Pt	1996	a	1000.0000
03Pt1999a	217.9000	03	Pt	1999	a	1266.4000
03Pt2003a	93.0280	03	Pt	2003	a	1666.0000
03Pt2004a	49.8510	03	Pt	2004	a	1000.0000
07Aa1982a	13.5210	07	Aa	1982	a	1000.0000
07Pc1989a	1.9450	07	Pc	1989	a	1000.0000
07Pe1969a	11.9950	07	Pe	1969	a	1000.0000
07Pe1983a	6.4950	07	Pe	1983	a	1000.0000
07Pe1984a	512.5340	07	Pe	1984	a	1000.0000
07Pe1988a	5.1930	07	Pe	1988	a	1000.0000
07Pe1989a	2.9450	07	Pe	1989	a	1000.0000
07Pe1994a	12.3000	07	Pe	1994	a	1000.0000
07Pt1989a	14.8970	07	Pt	1989	a	1000.0000
07Pt1994a	36.9360	07	Pt	1994	a	1000.0000
08Eg1987a	14.6330	08	Eg	1987	a	1000.0000
08Ma1987a	1.2980	08	Ma	1987	a	1000.0000
08Pe1983a	54.0170	08	Pe	1983	a	1000.0000
08Pe1984a	227.3170	08	Pe	1984	a	1000.0000
08Pe1985a	101.2900	08	Pe	1985	a	1000.0000
08Pe1986a	36.5750	08	Pe	1986	a	1000.0000
08Pe1987a	100.1950	08	Pe	1987	a	1000.0000
09Pt2004a	156.4150	09	pt	2004	a	1666.0000
10Eg1987a	2.6900	10	Eg	1987	a	1000.0000
10Pe1969a	14.4790	10	Pe	1969	a	1000.0000
10Pe1969t	12.3920	10	Pe	1969	t	1000.0000
10Pe1970a	44.3200	10	Pe	1970	a	1000.0000
10Pe1971a	23.3830	10	Pe	1971	a	1000.0000
10Pe1972a	23.4980	10	Pe	1972	a	1000.0000
10Pe1972t	6.0340	10	Pe	1972	t	1000.0000
10Pe1979a	41.3910	10	Pe	1979	a	1000.0000
10Pe1985a	121.4050	10	Pe	1985	a	1000.0000
10Pe1986a	171.6350	10	Pe	1986	a	1000.0000
10Pe1994a	3.7270	10	Pe	1994	a	1000.0000
10Pe1996a	35.4900	10	Pe	1996	a	1000.0000
10Pt1994a	5.8730	10	Pt	1994	a	1000.0000
11Eg1980t	4.9060	11	Eg	1980	t	1000.0000
11Pe1980a	33.1280	11	Pe	1980	a	1000.0000
11Pe1984a	5.5770	11	Pe	1984	a	1000.0000
11Pt1990a	16.8850	11	Pt	1990	a	1000.0000
11Pt1999a	69.3060	11	Pt	1999	a	1666.0000
12Aa1982a	0.5360	12	Aa	1982	a	1000.0000
12Eg1994a	22.9820	12	Eg	1994	a	1000.0000
13Eg1991a	38.3140	13	Eg	1991	a	1000.0000
13Pe1980a	11.9330	13	Pe	1980	a	1000.0000
14Pe1986a	264.4260	14	Pe	1986	a	1000.0000
14Pt2000a	310.6900	14	Pt	2000	a	1666.0000
14Pt2001a	341.7700	14	Pt	2001	a	1666.0000
14Pt2002a	217.2780	14	Pt	2002	a	1666.0000
14Pt2003a	63.6540	14	Pt	2003	a	1000.0000
