Siglimden	Siglimsig	Siglimcc	Sup_legal	Area	Perimeter	Hectares
Puerto Mineral	1732.32	03	1847.22	17323184.000	25164.768	1732.318
Santo Pipo	3404.09	14	3435.59	34026252.000	62738.734	3402.625
Colonia Flora	1073.67	07	1112.25	10753230.000	14901.073	1075.323
San Ignacio	600.32	10	599.05	6021260.000	10683.895	602.126
Linea Mbarigui	55.21	12	56.50	552091.750	3580.209	55.209
Oro Verde	158.41	11	160.00	1560200.875	8257.352	156.020
Colonia Polana	60.60	13	60.51	605568.063	3516.126	60.557
El Alcazar	3102.51	08	3169.79	31025126.000	32565.119	3102.513
Los Teales	522.26	09	505.89	5222639.000	22860.486	522.264
El Soberbio	10462.43	15	10397.00	104624288.000	53996.246	10462.429
Colonia Jardin America	0.00	??	1317.00	13549167.000	16620.443	1354.917
